name,group,"Labour Union","Television","Armed Forces","Churches","Government in your nationâ€™s capital","Police","Press","United Nations"
"World","World",36.4,48.6,63.6,62.4,44.7,54.7,42.8,40.4
"Algeria","Africa",24.1,40.6,53.8,67.8,33.9,52.4,29.4,9.0
"Azerbaijan","Asia",44.5,63.5,74.9,46.0,80.1,60.3,51.2,33.6
"Argentina","South America",16.2,34.7,28.8,51.8,31.6,25.0,36.0,26.9
"Australia","Oceania",26.4,19.2,86.4,31.1,30.0,82.9,16.3,54.4
"Armenia","Asia",12.8,32.3,87.9,79.7,38.4,38.1,27.5,42.3
"Brazil","South America",37.7,40.7,58.6,70.0,41.0,45.0,45.9,37.2
"Belarus","Europe",44.0,45.9,74.5,72.9,56.0,54.6,39.0,55.6
"Chile","South America",41.2,56.2,55.2,57.0,33.6,63.9,53.1,43.2
"China","Asia",40.8,64.3,84.0,16.5,84.6,66.6,60.2,31.6
"Taiwan","Asia",55.8,36.0,52.9,66.7,44.8,62.1,28.4,43.5
"Colombia","South America",20.7,37.0,56.2,74.3,39.3,45.4,36.4,43.0
"Cyprus","Europe",40.4,49.9,66.7,66.4,38.5,56.6,43.0,38.8
"Ecuador","South America",28.4,45.2,57.9,77.7,50.4,47.1,45.9,39.3
"Estonia","Europe",49.9,64.9,69.8,58.5,52.8,77.1,44.6,57.1
"Georgia","Asia",17.9,27.6,77.8,87.1,32.5,49.7,22.2,46.8
"Palestine","Asia",24.7,48.5,46.4,68.1,37.1,52.5,37.1,8.2
"Germany","Europe",45.5,47.4,63.6,37.3,44.4,81.7,44.4,45.7
"Ghana","Africa",58.4,73.0,78.9,89.3,60.8,56.8,61.1,65.1
"Haiti","North America",36.2,33.8,5.6,9.1,5.0,4.3,23.5,2.8
"Hong Kong","Asia",47.1,45.1,57.7,57.3,59.4,79.6,40.2,56.5
"India","Asia",54.7,69.8,82.0,95.5,45.7,49.1,65.9,29.5
"Iraq","Asia",21.8,48.9,60.7,76.3,38.2,57.4,26.5,16.6
"Japan","Asia",28.5,66.6,67.1,7.9,24.3,68.2,70.6,42.0
"Kazakhstan","Asia",44.4,64.0,72.0,61.8,74.8,50.3,52.9,69.4
"Jordan","Asia",26.6,40.5,90.3,73.9,54.2,82.0,32.9,17.2
"South Korea","Asia",38.6,63.2,63.5,50.3,49.5,58.3,61.0,68.3
"Kyrgyzstan","Asia",53.0,67.4,63.7,51.3,57.7,54.9,56.1,65.8
"Lebanon","Asia",31.8,35.1,45.7,41.5,22.7,42.0,33.8,29.5
"Libya","Africa",20.4,18.7,49.4,47.1,22.5,55.2,18.2,19.8
"Malaysia","Asia",77.5,70.7,80.0,91.3,75.1,73.7,68.6,61.9
"Mexico","North America",23.4,33.7,58.9,64.2,38.7,28.4,29.8,48.8
"Morocco","Africa",22.0,43.8,73.1,90.2,44.4,61.5,43.2,18.9
"Netherlands","Europe",37.6,39.6,49.5,22.1,33.0,65.5,34.1,41.9
"New Zealand","Oceania",25.0,34.4,76.1,41.4,44.7,78.5,25.4,44.9
"Nigeria","Africa",48.2,72.3,64.4,92.1,37.9,29.9,61.5,55.1
"Pakistan","Asia",44.1,53.9,83.4,97.1,35.8,20.6,41.2,23.1
"Peru","South America",17.5,34.6,33.1,66.7,21.8,27.9,31.1,42.6
"Philippines","Asia",51.0,76.0,71.2,94.7,57.7,67.0,67.1,66.9
"Poland","Europe",17.7,29.9,62.4,58.3,16.0,50.5,27.7,39.5
"Romania","Europe",17.7,33.3,65.2,72.7,18.3,42.4,27.4,43.2
"Russia","Asia",26.0,41.1,63.3,63.0,47.4,31.7,33.5,33.8
"Rwanda","Africa",50.2,47.7,64.7,60.2,63.5,63.3,51.7,45.1
"Singapore","Asia",59.8,59.7,77.2,72.0,79.8,79.4,58.9,63.0
"Slovenia","Europe",17.3,32.9,33.8,24.0,7.7,42.1,23.2,24.0
"South Africa","Africa",41.3,64.3,47.7,77.0,46.0,45.3,53.5,42.9
"Zimbabwe","Africa",46.3,49.5,59.7,87.0,50.8,56.5,39.1,59.3
"Spain","Europe",21.2,29.4,51.0,27.3,20.7,58.7,31.1,45.2
"Sweden","Europe",51.3,50.5,52.0,49.7,59.9,79.1,36.6,63.5
"Thailand","Asia",39.2,50.7,68.2,72.5,51.1,46.0,43.0,48.1
"Trinidad and Tobago","North America",20.9,34.2,41.0,65.2,34.9,28.0,29.4,39.1
"Tunisia","Africa",18.2,20.4,59.9,45.0,17.8,59.1,17.7,11.8
"Turkey","Asia",38.2,44.5,73.9,72.3,58.9,74.4,39.7,38.1
"Ukraine","Europe",39.2,56.1,58.7,75.2,25.4,31.6,53.1,49.3
"United States","North America",24.6,23.9,81.6,57.6,32.6,68.3,22.7,35.9
"Uruguay","South America",29.7,42.3,36.6,39.6,59.0,56.0,44.8,40.0
"Uzbekistan","Asia",62.4,87.4,93.8,79.0,95.2,82.4,81.8,72.9
"Yemen","Asia",11.3,17.6,38.1,78.5,27.5,28.6,7.9,8.0